AAVAS FINANCIERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 38.38 , 58.16 , 69.17 
Reserves, -   , -   , -   , -   , -   , -   , -   , 165.44 , 508.16 ," 1,029.06 "
Borrowings, -   , -   , -   , -   , -   , -   , -   ," 1,446.77 "," 1,793.39 "," 2,595.78 "
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , 63.21 , 94.62 , 128.37 
Total, -   , -   , -   , -   , -   , -   , -   ," 1,713.80 "," 2,454.33 "," 3,822.38 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 5.64 , 10.17 , 18.43 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 0.14 , 0.03 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 0.78 , 14.06 
Other Assets, -   , -   , -   , -   , -   , -   , -   ," 1,708.16 "," 2,443.24 "," 3,789.86 "
Total, -   , -   , -   , -   , -   , -   , -   ," 1,713.80 "," 2,454.33 "," 3,822.38 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   ," 1,644.95 "," 2,348.62 "," 3,661.49 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,16%,10%,8%
Return on Capital Emp,,,,,,,,18%,11%,11%
,,,,,,,,,,
