APEX FROZEN FOODS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 15.00 , 20.00 , 24.00 , 24.00 , 24.00 , 31.25 
Reserves, -   , -   , -   , -   , 9.42 , 17.84 , 31.98 , 51.26 , 85.42 , 271.05 
Borrowings, -   , -   , -   , -   , 62.88 , 78.71 , 90.37 , 79.22 , 110.14 , 85.43 
Other Liabilities, -   , -   , -   , -   , 7.06 , 24.24 , 18.79 , 24.30 , 57.14 , 43.35 
Total, -   , -   , -   , -   , 94.36 , 140.79 , 165.14 , 178.78 , 276.70 , 431.08 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 26.40 , 40.26 , 52.26 , 55.18 , 82.87 , 111.11 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 8.00 , 0.78 , 20.86 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , 67.96 , 100.53 , 112.88 , 115.60 , 193.05 , 299.11 
Total, -   , -   , -   , -   , 94.36 , 140.79 , 165.14 , 178.78 , 276.70 , 431.08 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , 60.90 , 76.29 , 94.09 , 91.30 , 135.91 , 255.76 
Debtors, -   , -   , -   , -   , 36.33 , 33.96 , 50.21 , 41.46 , 82.81 , 67.39 
Inventory, -   , -   , -   , -   , 21.85 , 50.54 , 50.30 , 59.59 , 63.82 , 101.60 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 51.95 , 24.10 , 30.58 , 25.07 , 43.26 , 24.63 
Inventory Turnover, -   , -   , -   , -   , 11.68 , 10.18 , 11.92 , 10.13 , 10.95 , 9.83 
,,,,,,,,,,
Return on Equity,,,,,39%,35%,33%,26%,23%,26%
Return on Capital Emp,,,,,46%,28%,29%,27%,26%,40%
,,,,,,,,,,
