GENERAL INSURANCE CORPORATION OF INDIA,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 430.00 , 430.00 , 430.00 , 438.60 
Reserves, -   , -   , -   , -   , -   , -   ," 42,668.62 "," 40,207.58 "," 18,015.77 "," 22,035.94 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   ," 30,356.55 "," 33,539.86 "," 76,502.88 "," 87,752.47 "
Total, -   , -   , -   , -   , -   , -   ," 73,455.17 "," 74,177.44 "," 94,948.65 "," 1,10,227.01 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 142.10 , 175.22 , 163.62 , 171.18 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   ," 55,725.09 "," 54,441.21 "," 64,744.92 "," 71,921.57 "
Other Assets, -   , -   , -   , -   , -   , -   ," 17,587.98 "," 19,561.01 "," 30,040.11 "," 38,134.26 "
Total, -   , -   , -   , -   , -   , -   ," 73,455.17 "," 74,177.44 "," 94,948.65 "," 1,10,227.01 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   ," (12,768.57)"," (13,978.85)"," (46,462.77)"," (49,618.21)"
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,7%,7%,17%,14%
Return on Capital Emp,,,,,,,13%,7%,12%,18%
,,,,,,,,,,
