DHARANI SUGARS & CHEMICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 172.66 , 343.75 , 445.61 , 558.80 , 757.00 , 893.95 ," 1,029.87 "," 1,068.92 "," 1,262.67 "," 1,192.39 "
Expenses, -   , -   , -   , 154.49 , 316.23 , 425.43 , 524.71 , 700.34 , 851.73 , 939.98 , 994.48 ," 1,173.76 "," 1,113.76 "
Operating Profit, -   , -   , -   , 18.17 , 27.52 , 20.18 , 34.09 , 56.66 , 42.22 , 89.89 , 74.44 , 88.91 , 78.64 
Other Income, -   , -   , -   , 0.63 , 0.57 , 1.19 , 0.58 , (2.38), 4.09 , 10.10 , 14.27 , -   , -   
Depreciation, -   , -   , -   , 2.78 , 6.82 , 11.68 , 15.34 , 17.99 , 25.47 , 29.30 , 28.42 , 28.42 , 28.42 
Interest, -   , -   , -   , 0.87 , 3.61 , 4.73 , 6.33 , 5.88 , 4.57 , 2.89 , 0.77 , 0.77 , 0.77 
Profit before tax, -   , -   , -   , 15.16 , 17.67 , 4.98 , 13.02 , 30.59 , 16.28 , 67.79 , 59.52 , 59.72 , 49.45 
Tax, -   , -   , -   , 2.53 , 2.91 , (0.40), 3.10 , 0.20 , (5.48), 19.01 , 13.07 ,22%,22%
Net profit, -   , -   , -   , 12.63 , 14.76 , 5.38 , 9.92 , 30.39 , 21.76 , 48.78 , 46.47 , 46.61 , 38.59 
EPS, -   , -   , -   , 205.03 , 239.61 , 87.34 , 158.59 , 485.83 , 57.10 , 20.80 , 19.81 , 19.87 , 16.45 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 65.77 , 46.27 , 56.02 , 46.27 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,368.01 ", 916.70 ," 1,113.24 ", 761.25 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.82%,,,
OPM,0.00%,0.00%,0.00%,10.52%,8.01%,4.53%,6.10%,7.48%,4.72%,8.73%,6.96%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,24.54%,22.61%,15.20%,22.61%,15.20%
,,,,,,OPM,6.87%,6.87%,6.59%,7.04%,6.96%,7.04%,6.59%
,,,,,,Price to Earning, 56.02 , 56.02 , 56.02 , 56.02 , 46.27 , 56.02 , 46.27 
