MANAKSIA COATED METALS & INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 167.93 , 215.25 , 224.01 , 254.92 , 229.46 , 254.84 , 254.84 , 234.95 
Expenses, -   , -   , -   , -   , -   , 158.25 , 207.82 , 211.71 , 241.71 , 214.09 , 233.96 , 233.96 , 222.47 
Operating Profit, -   , -   , -   , -   , -   , 9.68 , 7.43 , 12.30 , 13.21 , 15.37 , 20.88 , 20.88 , 12.48 
Other Income, -   , -   , -   , -   , -   , 0.14 , 2.54 , 4.34 , 1.66 , 2.53 , 2.07 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 3.57 , 15.28 , 9.88 , 8.16 , 7.73 , 9.46 , 9.46 , 9.46 
Interest, -   , -   , -   , -   , -   , 4.03 , 5.43 , 4.19 , 4.09 , 5.35 , 11.05 , 11.05 , 11.05 
Profit before tax, -   , -   , -   , -   , -   , 2.22 , (10.74), 2.56 , 2.62 , 4.83 , 2.44 , 0.37 , (8.03)
Tax, -   , -   , -   , -   , -   , 1.21 , (3.37), (0.35), 2.32 , 2.05 , 2.72 ,111%,111%
Net profit, -   , -   , -   , -   , -   , 1.01 , (7.37), 2.92 , 0.28 , 2.78 , (0.26), (0.04), 0.92 
EPS, -   , -   , -   , -   , -   , 20.20 , (1.12), 0.45 , 0.04 , 0.42 , (0.04), (0.01), 0.14 
Price to earning,  ,  ,  ,  ,  ,  , (8.54), 8.54 , 255.16 , 36.15 , -   , 99.95 , -   
Price, -   , -   , -   , -   , -   , -   , 9.60 , 3.81 , 10.90 , 15.34 , 4.15 , (0.65), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,5.76%,3.45%,5.49%,5.18%,6.70%,8.19%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,2.15%,11.06%,11.06%,2.15%
,,,,,,OPM,5.31%,5.31%,5.31%,5.77%,8.19%,8.19%,5.31%
,,,,,,Price to Earning, 99.95 , 99.95 , 99.95 , 99.95 , -   , 99.95 , -   
