JAGSONPAL PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 136.19 , 139.60 , 160.95 , 176.52 , 166.47 , 143.86 , 138.15 , 143.49 , 143.87 , 126.53 , 161.08 , 161.08 , 117.93 
Expenses, 120.74 , 123.89 , 146.42 , 159.89 , 156.41 , 133.17 , 129.41 , 131.70 , 138.11 , 137.65 , 156.40 , 154.25 , 114.50 
Operating Profit, 15.45 , 15.71 , 14.53 , 16.63 , 10.06 , 10.69 , 8.74 , 11.79 , 5.76 , (11.12), 4.68 , 6.83 , 3.43 
Other Income, 0.27 , 0.36 , 0.26 , 0.37 , 0.32 , 0.06 , 0.11 , 0.66 , 13.27 , 0.46 , 0.68 , -   , -   
Depreciation, 1.25 , 2.08 , 2.20 , 2.54 , 2.71 , 2.83 , 2.71 , 3.09 , 1.99 , 0.32 , 0.75 , 0.75 , 0.75 
Interest, 4.58 , 3.50 , 3.32 , 4.36 , 5.13 , 5.38 , 4.46 , 5.30 , 2.64 , 0.66 , 0.52 , 0.52 , 0.52 
Profit before tax, 9.89 , 10.49 , 9.27 , 10.09 , 2.53 , 2.53 , 1.67 , 4.08 , 14.40 , (11.63), 4.09 , 5.56 , 2.16 
Tax, 3.72 , 1.25 , 2.09 , 2.64 , 0.71 , 0.41 , 0.50 , 0.83 , 2.53 , (0.08), 1.08 ,26%,26%
Net profit, 6.17 , 9.24 , 7.18 , 7.46 , 1.83 , 2.12 , 1.17 , 3.25 , 11.86 , (11.55), 3.01 , 4.09 , 1.59 
EPS, 2.36 , 3.53 , 2.74 , 2.85 , 0.70 , 0.81 , 0.45 , 1.24 , 4.53 , (4.41), 1.15 , 1.56 , 0.61 
Price to earning, 3.92 , 6.07 , 6.28 , 4.72 , 14.80 , 15.71 , 70.68 , 28.35 , 9.53 , (6.88), 23.59 , 23.59 , 18.36 
Price, 9.22 , 21.40 , 17.20 , 13.43 , 10.34 , 12.71 , 31.56 , 35.16 , 43.16 , 30.33 , 27.10 , 36.84 , 11.12 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,10.70%,14.18%,18.25%,17.56%,71.58%,61.79%,22.22%,8.00%,2.19%,0.00%,,,
OPM,11.34%,11.25%,9.03%,9.42%,6.04%,7.43%,6.33%,8.22%,4.00%,0.00%,2.91%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.81%,-3.38%,-5.34%,-2.89%,27.31%,27.31%,-5.34%
,,,,,,OPM,7.41%,6.13%,5.31%,4.24%,2.91%,4.24%,2.91%
,,,,,,Price to Earning, 18.36 , 23.91 , 29.57 , 20.49 , 23.59 , 23.59 , 18.36 
