ARIHANT FOUNDATIONS & HOUSING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Dec-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, 7.05 , 7.05 , 7.48 , 8.60 , 8.60 , 8.60 , 8.60 , 8.60 , 8.60 , 8.60 
Reserves, 135.41 , 140.94 , 145.44 , 153.45 , 155.58 , 157.25 , 158.54 , 153.33 , 141.18 , 141.85 
Borrowings, 118.36 , 99.88 , 131.89 , 90.01 , 89.74 , 104.05 , 171.07 , 139.97 , 137.96 , 138.49 
Other Liabilities, 51.23 , 75.74 , 70.99 , 88.42 , 85.30 , 117.91 , 80.61 , 102.43 , 90.54 , 85.51 
Total, 312.05 , 323.61 , 355.80 , 340.48 , 339.22 , 387.81 , 418.82 , 404.33 , 378.28 , 374.45 
,,,,,,,,,,
Net Block, 14.67 , 14.71 , 13.51 , 13.54 , 13.33 , 13.71 , 13.03 , 11.56 , 10.99 , 10.31 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 2.11 , 6.00 , 10.22 , 10.22 , 10.21 , 16.95 , 19.93 , 19.50 , 11.79 , 23.65 
Other Assets, 295.27 , 302.90 , 332.07 , 316.72 , 315.68 , 357.15 , 385.86 , 373.27 , 355.50 , 340.49 
Total, 312.05 , 323.61 , 355.80 , 340.48 , 339.22 , 387.81 , 418.82 , 404.33 , 378.28 , 374.45 
,,,,,,,,,,
Working Capital, 244.04 , 227.16 , 261.08 , 228.30 , 230.38 , 239.24 , 305.25 , 270.84 , 264.96 , 254.98 
Debtors, 59.21 , 76.15 , 83.25 , 74.97 , 62.33 , 88.56 , 44.38 , 67.04 , 72.39 , 75.65 
Inventory, 111.93 , 60.64 , 74.06 , 55.00 , 72.27 , 91.92 , 108.01 , 79.65 , 80.86 , 75.73 
,,,,,,,,,,
Debtor Days, 99.39 , 185.61 , 217.37 , 232.12 , 170.38 , 507.45 , 245.14 , 340.80 , 482.69 , 702.42 
Inventory Turnover, 1.94 , 2.47 , 1.89 , 2.14 , 1.85 , 0.69 , 0.61 , 0.90 , 0.68 , 0.52 
,,,,,,,,,,
Return on Equity,21%,2%,1%,2%,1%,1%,1%,-3%,1%,0%
Return on Capital Emp,,4%,5%,4%,4%,4%,5%,2%,5%,5%
,,,,,,,,,,
