AJMERA REALTY & INFRA INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 51.05 , 23.57 , 17.20 , 10.53 , 6.20 , 0.30 , 136.44 , 213.23 , 251.56 , 289.07 , 354.01 , 371.27 , 364.28 
Expenses, 24.62 , 9.59 , 4.27 , 1.39 , 0.36 , 0.21 , 97.65 , 149.72 , 151.91 , 165.45 , 225.10 , 230.03 , 231.63 
Operating Profit, 26.43 , 13.98 , 12.93 , 9.14 , 5.84 , 0.09 , 38.79 , 63.51 , 99.65 , 123.62 , 128.91 , 141.24 , 132.65 
Other Income, 0.40 , 1.04 , 0.71 , 8.34 , 6.89 , 7.67 , 7.48 , 9.12 , 14.17 , 13.14 , 3.24 , -   , -   
Depreciation, 0.17 , 0.21 , 0.47 , 0.78 , 1.18 , 1.20 , 2.32 , 2.43 , 1.96 , 1.63 , 1.89 , 1.89 , 1.89 
Interest, 6.11 , 1.12 , 0.09 , 0.02 , -   , -   , 17.47 , 28.63 , 35.22 , 40.66 , 47.55 , 47.55 , 47.55 
Profit before tax, 20.55 , 13.69 , 13.08 , 16.68 , 11.55 , 6.56 , 26.48 , 41.57 , 76.64 , 94.47 , 82.71 , 91.80 , 83.21 
Tax, 2.36 , 2.33 , 2.61 , 2.14 , 1.30 , 0.43 , 4.29 , 7.64 , 15.24 , 18.90 , 16.54 ,20%,20%
Net profit, 18.19 , 11.36 , 10.47 , 14.53 , 10.25 , 6.14 , 22.19 , 33.93 , 61.40 , 75.58 , 66.17 , 73.44 , 66.57 
EPS, 5.13 , 3.20 , 2.95 , 4.09 , 2.89 , 1.73 , 6.25 , 9.56 , 17.30 , 21.30 , 18.65 , 20.70 , 18.76 
Price to earning, 16.99 , 58.18 , 61.54 , 28.57 , 33.53 , 35.30 , 20.96 , 15.99 , 12.60 , 12.67 , 9.89 , 12.79 , 9.89 
Price, 87.09 , 186.25 , 181.58 , 116.98 , 96.86 , 61.08 , 131.05 , 152.87 , 218.07 , 269.93 , 184.40 , 264.69 , 185.52 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.44%,34.33%,47.47%,41.50%,51.90%,86.64%,27.17%,26.14%,17.33%,15.49%,,,
OPM,51.77%,59.31%,75.17%,86.80%,94.19%,30.00%,28.43%,29.78%,39.61%,42.76%,36.41%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,21.25%,49.65%,115.64%,28.44%,22.47%,28.44%,21.25%
,,,,,,OPM,39.43%,37.54%,36.57%,38.04%,36.41%,38.04%,36.41%
,,,,,,Price to Earning, 27.84 , 21.19 , 17.90 , 12.79 , 9.89 , 12.79 , 9.89 
