AAVAS FINANCIERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , 190.88 , 305.13 , 456.34 , 709.40 , 709.40 , 849.73 
Expenses, -   , -   , -   , -   , -   , -   , -   , 42.78 , 72.35 , 120.81 , 186.93 , 175.75 , 223.91 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , 148.10 , 232.78 , 335.53 , 522.47 , 533.65 , 625.82 
Other Income, -   , -   , -   , -   , -   , -   , -   , 0.02 , 0.36 , 0.91 , 1.57 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 1.28 , 2.77 , 5.63 , 9.72 , 9.72 , 9.72 
Interest, -   , -   , -   , -   , -   , -   , -   , 96.88 , 142.82 , 189.05 , 256.63 , 256.63 , 256.63 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , 49.96 , 87.56 , 141.75 , 257.69 , 267.30 , 359.47 
Tax, -   , -   , -   , -   , -   , -   , -   , 17.17 , 30.42 , 48.82 , 81.77 ,32%,32%
Net profit, -   , -   , -   , -   , -   , -   , -   , 32.78 , 57.14 , 92.93 , 175.91 , 182.48 , 245.41 
EPS, -   , -   , -   , -   , -   , -   , -   , 8.54 , 9.73 , 13.29 , 22.52 , 23.36 , 31.42 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 63.40 , 63.40 , 63.40 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,427.85 "," 1,481.18 "," 1,991.95 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,77.59%,76.29%,73.53%,73.65%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,55.45%,55.45%,55.45%
,,,,,,OPM,75.23%,75.23%,75.23%,75.23%,73.65%,75.23%,73.65%
,,,,,,Price to Earning, 63.40 , 63.40 , 63.40 , 63.40 , 63.40 , 63.40 , 63.40 
