LYPSA GEMS & JEWELLERY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 7.02 , 14.04 , 14.04 , 14.04 , 21.06 , 21.06 , 21.06 , 29.48 
Reserves, -   , -   , 15.68 , 9.70 , 11.46 , 13.50 , 9.08 , 10.28 , 10.33 , 2.10 
Borrowings, -   , -   , 2.43 , 0.82 , 21.04 , 21.12 , 38.08 , 32.41 , 23.96 , 23.58 
Other Liabilities, -   , -   , 51.47 , 109.38 , 104.33 , 100.85 , 93.49 , 83.11 , 86.90 , 109.26 
Total, -   , -   , 76.60 , 133.94 , 150.87 , 149.51 , 161.71 , 146.86 , 142.25 , 164.42 
,,,,,,,,,,
Net Block, -   , -   , 0.16 , 0.13 , 1.75 , 3.39 , 4.86 , 5.86 , 5.40 , 5.03 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , 0.50 , 1.76 , 0.62 , 1.24 , 0.28 , 0.40 , 0.32 , 0.32 
Other Assets, -   , -   , 75.94 , 132.05 , 148.50 , 144.88 , 156.57 , 140.60 , 136.53 , 159.07 
Total, -   , -   , 76.60 , 133.94 , 150.87 , 149.51 , 161.71 , 146.86 , 142.25 , 164.42 
,,,,,,,,,,
Working Capital, -   , -   , 24.47 , 22.67 , 44.17 , 44.03 , 63.08 , 57.49 , 49.63 , 49.81 
Debtors, -   , -   , 39.41 , 102.06 , 117.39 , 87.41 , 120.86 , 98.85 , 133.78 , 155.97 
Inventory, -   , -   , 6.70 , 22.68 , 20.75 , 33.40 , 26.17 , 33.92 , 1.62 , 2.40 
,,,,,,,,,,
Debtor Days, -   , -   , 42.78 , 143.36 , 141.92 , 77.37 , 100.98 , 173.76 , 637.55 , 546.61 
Inventory Turnover, -   , -   , 50.19 , 11.46 , 14.55 , 12.35 , 16.69 , 6.12 , 47.28 , 43.40 
,,,,,,,,,,
Return on Equity,,,9%,9%,11%,11%,12%,4%,0%,1%
Return on Capital Emp,,,169%,47%,17%,15%,16%,7%,6%,1%
,,,,,,,,,,
