CREDITACCESS GRAMEEN LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 52.95 , 72.95 , 85.68 , 128.43 
Reserves, -   , -   , -   , -   , -   , -   , 154.32 , 386.92 , 605.12 ," 1,299.46 "
Borrowings, -   , -   , -   , -   , -   , -   , 805.23 ," 2,233.32 "," 2,668.24 "," 3,602.86 "
Other Liabilities, -   , -   , -   , -   , -   , -   , 45.58 , 114.78 , 205.03 , 187.60 
Total, -   , -   , -   , -   , -   , -   ," 1,058.08 "," 2,807.97 "," 3,564.07 "," 5,218.35 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 2.63 , 11.34 , 12.26 , 16.16 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 0.23 , -   , 3.03 , 1.06 
Investments, -   , -   , -   , -   , -   , -   , 0.20 , 0.20 , 0.20 , 0.20 
Other Assets, -   , -   , -   , -   , -   , -   ," 1,055.02 "," 2,796.43 "," 3,548.58 "," 5,200.93 "
Total, -   , -   , -   , -   , -   , -   ," 1,058.08 "," 2,807.97 "," 3,564.07 "," 5,218.35 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   ," 1,009.44 "," 2,681.65 "," 3,343.55 "," 5,013.33 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,8%,18%,12%,9%
Return on Capital Emp,,,,,,,19%,18%,15%,13%
,,,,,,,,,,
