COFFEE DAY ENTERPRISES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,May-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.65 , 14.08 , 14.08 , 14.08 , 14.08 , 14.25 , 14.59 , 206.00 , 206.00 , 211.25 
Reserves, 64.54 , 521.84 , 524.80 , 510.07 , 524.08 , 430.78 , 374.51 ," 1,682.32 "," 1,602.78 "," 1,664.74 "
Borrowings, 125.00 , 706.43 ," 1,036.37 ", 832.58 , 790.98 ," 1,503.15 "," 1,613.58 ", 692.20 , 960.57 ," 1,038.93 "
Other Liabilities, 133.96 , 79.75 , 74.47 , 27.51 , 510.60 , 126.43 , 90.91 , 13.08 , 134.75 , 5.43 
Total, 336.15 ," 1,322.10 "," 1,649.72 "," 1,384.24 "," 1,839.74 "," 2,074.61 "," 2,093.59 "," 2,593.60 "," 2,904.10 "," 2,920.35 "
,,,,,,,,,,
Net Block, 335.57 , -   , 6.85 , 10.48 , 10.25 , 9.61 , 9.10 , 5.72 , 5.44 , 5.15 
Capital Work in Progress, -   , -   , 1.76 , -   , -   , -   , -   , -   , -   , -   
Investments, -   , 360.57 , 861.70 ," 1,040.72 "," 1,594.91 "," 1,586.53 "," 1,586.53 "," 2,000.48 "," 2,130.53 "," 2,131.51 "
Other Assets, 0.58 , 961.53 , 779.41 , 333.04 , 234.58 , 478.47 , 497.96 , 587.40 , 768.13 , 783.69 
Total, 336.15 ," 1,322.10 "," 1,649.72 "," 1,384.24 "," 1,839.74 "," 2,074.61 "," 2,093.59 "," 2,593.60 "," 2,904.10 "," 2,920.35 "
,,,,,,,,,,
Working Capital, (133.38), 881.78 , 704.94 , 305.53 , (276.02), 352.04 , 407.05 , 574.32 , 633.38 , 778.26 
Debtors, 0.05 , 1.47 , 8.79 , 8.82 , 0.78 , 16.78 , 0.29 , 0.45 , 28.60 , 3.94 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 304.17 ," 2,980.83 ", 232.49 , 206.90 , 27.30 , 184.48 , 3.46 , 3.09 , 103.80 , 10.01 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,-10%,-7%,1%,-3%,-14%,-18%,-32%,-8%,-4%,-3%
Return on Capital Emp,,-2%,1%,1%,0%,1%,0%,1%,2%,2%
,,,,,,,,,,
