BANDHAN BANK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   ," 3,908.71 "," 4,802.30 "," 6,644.05 "," 6,644.05 "," 7,350.39 "
Expenses, -   , -   , -   , -   , -   , -   , -   , -   ," 1,043.59 "," 1,596.61 "," 2,546.11 "," 2,013.73 "," 2,816.79 "
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   ," 2,865.12 "," 3,205.69 "," 4,097.94 "," 4,630.32 "," 4,533.60 "
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , 411.41 , 706.18 ," 1,063.06 ", -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 66.85 , 85.92 , -   , -   , -   
Interest, -   , -   , -   , -   , -   , -   , -   , -   ," 1,505.21 "," 1,770.06 "," 2,147.95 "," 2,147.95 "," 2,147.95 "
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   ," 1,704.47 "," 2,055.90 "," 3,013.05 "," 2,482.37 "," 2,385.65 "
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 592.52 , 710.34 ," 1,061.54 ",35%,35%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   ," 1,111.95 "," 1,345.56 "," 1,951.50 "," 1,607.80 "," 1,545.15 "
EPS, -   , -   , -   , -   , -   , -   , -   , -   , 10.15 , 11.28 , 16.36 , 13.48 , 12.95 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 44.80 , 36.67 , 40.74 , 36.67 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 505.41 , 599.80 , 548.96 , 474.91 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.86%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,73.30%,66.75%,61.68%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,38.35%,38.35%,38.35%
,,,,,,OPM,69.69%,69.69%,69.69%,69.69%,61.68%,69.69%,61.68%
,,,,,,Price to Earning, 40.74 , 40.74 , 40.74 , 40.74 , 36.67 , 40.74 , 36.67 
