GREENLAM INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 844.60 , 936.70 , 970.31 ," 1,060.78 "," 1,145.36 "," 1,159.69 "," 1,151.18 "
Expenses, -   , -   , -   , -   , -   , -   , 752.62 , 812.99 , 846.40 , 924.20 ," 1,012.72 "," 1,009.56 "," 1,017.86 "
Operating Profit, -   , -   , -   , -   , -   , -   , 91.98 , 123.71 , 123.91 , 136.58 , 132.64 , 150.13 , 133.31 
Other Income, -   , -   , -   , -   , -   , -   , 1.25 , 1.13 , 1.66 , 2.18 , 1.97 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 30.19 , 31.51 , 33.40 , 33.12 , 34.02 , 34.02 , 34.02 
Interest, -   , -   , -   , -   , -   , -   , 27.51 , 28.35 , 25.45 , 15.98 , 16.16 , 16.16 , 16.16 
Profit before tax, -   , -   , -   , -   , -   , (0.01), 35.53 , 64.99 , 66.72 , 89.66 , 84.43 , 99.95 , 83.13 
Tax, -   , -   , -   , -   , -   , -   , 8.92 , 24.65 , 23.91 , 30.46 , 24.78 ,29%,29%
Net profit, -   , -   , -   , -   , -   , (0.01), 26.62 , 40.34 , 42.81 , 59.20 , 59.67 , 70.61 , 58.73 
EPS, -   , -   , -   , -   , -   , (1.00), 11.03 , 16.71 , 17.74 , 24.53 , 24.72 , 29.26 , 24.33 
Price to earning,  ,  ,  ,  ,  ,  , 38.64 , 34.35 , 37.75 , 50.48 , 35.73 , 39.57 , 35.73 
Price, -   , -   , -   , -   , -   , -   , 426.12 , 574.07 , 669.50 ," 1,238.11 ", 883.20 ," 1,157.81 ", 869.35 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.55%,5.97%,8.46%,10.20%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.89%,13.21%,12.77%,12.88%,11.58%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,7.89%,9.32%,9.32%,7.89%
,,,,,,OPM,12.49%,12.49%,12.49%,12.95%,11.58%,12.95%,11.58%
,,,,,,Price to Earning, 39.39 , 39.39 , 39.39 , 39.57 , 35.73 , 39.57 , 35.73 
