BHARATIYA GLOBAL INFOMEDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 6.64 , 6.84 , 9.12 , 15.84 , 15.84 , 15.84 , 15.84 , 15.84 , 15.84 , 15.84 
Reserves, 16.21 , 20.88 , 23.48 , 73.03 , 74.05 , 74.81 , 74.70 , 75.33 , 76.21 , 76.29 
Borrowings, 6.28 , 6.61 , 5.94 , 0.30 , 0.14 , 2.02 , 2.77 , 2.84 , 3.27 , 3.74 
Other Liabilities, 9.08 , 13.31 , 19.63 , 17.37 , 5.81 , 19.54 , 8.66 , 15.88 , 23.73 , 60.39 
Total, 38.21 , 47.64 , 58.17 , 106.54 , 95.84 , 112.21 , 101.97 , 109.89 , 119.05 , 156.26 
,,,,,,,,,,
Net Block, 11.34 , 12.92 , 15.89 , 25.51 , 29.66 , 35.44 , 24.04 , 29.13 , 27.40 , 25.91 
Capital Work in Progress, 3.83 , 2.72 , 2.37 , 2.37 , 4.36 , -   , 6.99 , 20.35 , 23.61 , 24.70 
Investments, 1.91 , 0.14 , 0.14 , 1.70 , 1.70 , 3.16 , 3.16 , 5.10 , 5.06 , 5.06 
Other Assets, 21.13 , 31.86 , 39.77 , 76.96 , 60.12 , 73.61 , 67.78 , 55.31 , 62.98 , 100.59 
Total, 38.21 , 47.64 , 58.17 , 106.54 , 95.84 , 112.21 , 101.97 , 109.89 , 119.05 , 156.26 
,,,,,,,,,,
Working Capital, 12.05 , 18.55 , 20.14 , 59.59 , 54.31 , 54.07 , 59.12 , 39.43 , 39.25 , 40.20 
Debtors, 10.69 , 22.28 , 22.02 , 25.47 , 14.31 , 25.17 , 26.30 , 18.04 , 22.42 , 41.27 
Inventory, 3.48 , 3.57 , -   , -   , 0.77 , 4.46 , 4.18 , 1.50 , 7.10 , 27.83 
,,,,,,,,,,
Debtor Days, 116.13 , 175.49 , 113.27 , 144.24 , 95.43 , 204.11 , 262.86 , 211.86 , 203.51 , 479.58 
Inventory Turnover, 9.66 , 12.98 , -   , -   , 71.08 , 10.09 , 8.74 , 20.72 , 5.66 , 1.13 
,,,,,,,,,,
Return on Equity,0%,10%,15%,1%,1%,1%,0%,1%,1%,0%
Return on Capital Emp,,16%,21%,3%,1%,1%,0%,2%,2%,1%
,,,,,,,,,,
