JAIHIND PROJECTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 7.11 , 7.26 , 7.26 , 9.76 , 9.76 , 9.76 , 9.76 , 9.76 , 9.76 , 9.76 
Reserves, 43.83 , 71.42 , 96.57 , 128.23 , 81.67 , 58.24 , 21.31 , 1.49 , 10.75 , (286.13)
Borrowings, 80.26 , 211.93 , 259.90 , 459.57 , 518.34 , 549.59 , 559.30 , 589.48 , 564.11 , 581.91 
Other Liabilities, 151.62 , 111.59 , 269.20 , 281.03 , 291.75 , 192.04 , 88.28 , 87.57 , 26.87 , 53.31 
Total, 282.82 , 402.20 , 632.93 , 878.59 , 901.52 , 809.63 , 678.65 , 688.30 , 611.49 , 358.85 
,,,,,,,,,,
Net Block, 72.25 , 88.10 , 116.43 , 215.66 , 203.04 , 184.90 , 146.64 , 130.60 , 118.27 , 74.90 
Capital Work in Progress, -   , 16.25 , -   , 0.52 , 0.52 , 0.52 , -   , -   , -   , -   
Investments, 6.71 , 7.34 , 8.44 , 15.32 , 15.30 , 8.21 , 8.20 , 8.15 , 8.18 , 0.08 
Other Assets, 203.86 , 290.51 , 508.06 , 647.09 , 682.66 , 616.00 , 523.81 , 549.55 , 485.04 , 283.87 
Total, 282.82 , 402.20 , 632.93 , 878.59 , 901.52 , 809.63 , 678.65 , 688.30 , 611.49 , 358.85 
,,,,,,,,,,
Working Capital, 52.24 , 178.92 , 238.86 , 366.06 , 390.91 , 423.96 , 435.53 , 461.98 , 458.17 , 230.56 
Debtors, 83.97 , 153.68 , 292.10 , 423.51 , 356.55 , 337.11 , 375.29 , 408.87 , 395.23 , 242.85 
Inventory, 14.49 , 16.82 , 25.56 , 47.40 , 27.65 , 12.37 , 3.63 , 1.57 , 1.57 , 1.57 
,,,,,,,,,,
Debtor Days, 128.87 , 137.01 , 244.78 , 293.04 , 428.72 , 409.06 , 493.43 ," 1,245.83 "," 2,362.96 "," 2,026.06 "
Inventory Turnover, 16.41 , 24.34 , 17.04 , 11.13 , 10.98 , 24.32 , 76.48 , 76.30 , 38.89 , 27.87 
,,,,,,,,,,
Return on Equity,21%,31%,25%,17%,-60%,-32%,-58%,-268%,-38%,
Return on Capital Emp,,36%,24%,20%,1%,4%,1%,-4%,-1%,-51%
,,,,,,,,,,
