INDOSTAR CAPITAL FINANCE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , 78.36 , 78.68 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   ," 1,822.05 "," 2,067.31 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   ," 3,373.29 "," 4,822.75 "
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 213.72 , 328.37 
Total, -   , -   , -   , -   , -   , -   , -   , -   ," 5,487.42 "," 7,297.11 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 8.80 , 53.26 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.30 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 196.98 ," 1,049.10 "
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   ," 5,281.64 "," 6,186.45 "
Total, -   , -   , -   , -   , -   , -   , -   , -   ," 5,487.42 "," 7,297.11 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   ," 5,067.92 "," 5,858.08 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,,11%,11%
Return on Capital Emp,,,,,,,,,24%,11%
,,,,,,,,,,
