LAURUS LABS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 10.41 , 10.41 , 15.24 , 15.24 , 15.38 , 15.51 , 15.77 , 105.76 , 106.03 
Reserves, -   , 60.54 , 69.93 , 91.49 , 181.60 , 280.58 , 645.14 , 789.99 ," 1,249.82 "," 1,407.27 "
Borrowings, -   , 198.51 , 236.72 , 225.30 , 292.08 , 542.82 , 821.11 ," 1,014.51 ", 807.53 , 947.45 
Other Liabilities, -   , 64.49 , 103.48 , 180.85 , 212.07 , 449.83 , 449.55 , 471.59 , 603.21 , 664.96 
Total, -   , 333.95 , 420.54 , 512.88 , 700.99 ," 1,288.61 "," 1,931.31 "," 2,291.86 "," 2,766.32 "," 3,125.71 "
,,,,,,,,,,
Net Block, -   , 189.22 , 189.00 , 186.54 , 235.55 , 498.69 , 800.53 ," 1,013.95 "," 1,193.26 "," 1,447.69 "
Capital Work in Progress, -   , 0.99 , 1.10 , 32.12 , 72.78 , 116.10 , 107.25 , 69.60 , 143.26 , 163.18 
Investments, -   , -   , -   , -   , -   , 0.46 , 19.11 , 26.12 , 50.53 , 51.74 
Other Assets, -   , 143.74 , 230.44 , 294.22 , 392.66 , 673.36 ," 1,004.42 "," 1,182.19 "," 1,379.27 "," 1,463.10 "
Total, -   , 333.95 , 420.54 , 512.88 , 700.99 ," 1,288.61 "," 1,931.31 "," 2,291.86 "," 2,766.32 "," 3,125.71 "
,,,,,,,,,,
Working Capital, -   , 79.25 , 126.96 , 113.37 , 180.59 , 223.53 , 554.87 , 710.60 , 776.06 , 798.14 
Debtors, -   , 73.12 , 125.54 , 148.31 , 156.70 , 194.88 , 285.05 , 443.70 , 561.96 , 555.14 
Inventory, -   , 46.62 , 75.62 , 98.63 , 156.19 , 328.10 , 475.50 , 487.09 , 501.21 , 575.78 
,,,,,,,,,,
Debtor Days, -   , 124.98 , 162.51 , 120.10 , 79.60 , 61.33 , 78.45 , 91.26 , 108.42 , 99.97 
Inventory Turnover, -   , 4.58 , 3.73 , 4.57 , 4.60 , 3.53 , 2.79 , 3.64 , 3.77 , 3.52 
,,,,,,,,,,
Return on Equity,,17%,12%,20%,45%,33%,11%,18%,15%,11%
Return on Capital Emp,,20%,11%,19%,31%,28%,15%,18%,17%,14%
,,,,,,,,,,
