HEXA TRADEX LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 0.02 , 2.63 , 100.47 , 35.76 , 35.62 , 23.11 , 8.11 , -   , 0.01 , -   , (0.01)
Expenses, -   , -   , 0.03 , 3.58 , 100.59 , 35.20 , 21.08 , 19.01 , 12.12 , 1.78 , 2.29 , -   , (0.01)
Operating Profit, -   , -   , (0.01), (0.95), (0.12), 0.56 , 14.54 , 4.10 , (4.01), (1.78), (2.28), -   , -   
Other Income, -   , -   , -   , -   , 0.26 , 0.48 , 0.10 , 0.01 , -   , -   , 0.49 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Interest, -   , -   , -   , 0.46 , 1.05 , 0.52 , -   , 0.07 , 0.30 , 0.10 , 0.20 , 0.20 , 0.20 
Profit before tax, -   , -   , (0.01), (1.41), (0.90), 0.52 , 14.65 , 4.03 , (4.31), (1.88), (1.99), (0.20), (0.20)
Tax, -   , -   , -   , (0.41), (0.21), 0.21 , 5.01 , 1.30 , (1.42), (0.19), (0.61),0%,0%
Net profit, -   , -   , (0.01), (1.01), (0.69), 0.31 , 9.64 , 2.73 , (2.89), (1.70), (1.38), (0.20), (0.20)
EPS, -   , -   , (0.40), (0.18), (0.12), 0.06 , 1.74 , 0.49 , (0.52), (0.31), (0.25), (0.04), (0.04)
Price to earning,  ,  ,  , (564.71), (211.27), 399.19 , 14.28 , 29.61 , (40.65), (171.30), -   , 29.61 , -   
Price, -   , -   , -   , 103.24 , 26.39 , 22.40 , 24.92 , 14.63 , 21.26 , 52.71 , 16.40 , (1.07), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,1.57%,40.82%,17.74%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,-100.00%,-100.00%,-100.00%,,-100.00%,-100.00%
,,,,,,OPM,9.33%,9.33%,18.71%,13.13%,0.00%,13.13%,0.00%
,,,,,,Price to Earning, 147.69 , 147.69 , 147.69 , 29.61 , -   , 29.61 , -   
